province;product_types;currency;product_group_id;product_line;value;date
ŁÓDŹ;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2010-11
WEST POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;14.57;2003-5
OPOLE;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;4.0;2017-2
KUYAVIA-POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2017-4
HOLY CROSS;;PLN;2.0;beef with bone (rump steak) - per 1kg;8.54;2001-3
SILESIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.79;2019-2
SILESIA;;PLN;2.0;salted herring, non-dressed - per 1kg;8.92;2012-12
POMERANIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;13.01;2015-10
POLAND;;PLN;2.0;Hunter's sausage dried - per 1kg;19.71;2019-2
LESSER POLAND;30% tomato concentrate - per 1kg;PLN;1.0;;4.87;1999-5
WEST POMERANIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;13.93;2017-1
MASOVIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;3.61;2002-3
SILESIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;30.27;2012-3
POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;11.91;2018-12
MASOVIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.39;2002-4
SILESIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;5.07;2017-11
WEST POMERANIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2005-10
ŁÓDŹ;;PLN;2.0;beef with bone (rump steak) - per 1kg;22.27;2014-1
OPOLE;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2013-2
HOLY CROSS;;PLN;2.0;beef with bone (rump steak) - per 1kg;9.0;2001-4
WARMIA-MASURIA;;PLN;2.0;pork ham cooked - per 1kg;16.48;2005-9
LESSER POLAND;;PLN;2.0;boneless beef (sirloin) - per 1kg;20.38;2009-1
WARMIA-MASURIA;;PLN;2.0;fresh non-dressed trout - per 1kg;16.4;2018-6
SUBCARPATHIA;;PLN;2.0;dressed chickens - per 1kg;4.45;1999-7
PODLASKIE;;PLN;2.0;pork belly cooked - per 1kg;15.29;2015-7
WARMIA-MASURIA;;PLN;2.0;pork ham cooked - per 1kg;15.43;1999-1
GREATER POLAND;;PLN;4.0;Masurian barley groats - per 1kg;3.6;2016-9
LOWER SILESIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.97;2009-10
LOWER SILESIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;1.0499999999999998;2011-9
SUBCARPATHIA;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2001-3
ŁÓDŹ;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.1;2008-8
LOWER SILESIA;;PLN;2.0;Italian head cheese - per 1kg;6.37;2003-10
SUBCARPATHIA;;PLN;4.0;bread - per 1kg;;2019-5
LUBUSZ;;PLN;2.0;Italian head cheese - per 1kg;6.33;2007-9
ŁÓDŹ;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;1.74;2000-12
LESSER POLAND;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.37;2011-9
WEST POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2009-12
LOWER SILESIA;;PLN;4.0;bread - per 1kg;;2006-11
LUBUSZ;;PLN;2.0;barley groats sausage - per 1kg;3.81;2003-12
SILESIA;;PLN;2.0;smoked bacon with ribs - per 1kg;14.7;2014-4
HOLY CROSS;;PLN;2.0;Hunter's sausage dried - per 1kg;0.0;2013-10
POMERANIA;;PLN;2.0;fresh non-dressed trout - per 1kg;11.52;2011-12
GREATER POLAND;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.01;2004-2
HOLY CROSS;;PLN;2.0;fresh non-dressed trout - per 1kg;;2001-5
LUBUSZ;apple juice, boxed - per 1l;PLN;1.0;;0.0;2016-3
POLAND;;PLN;2.0;pork  meat (raw bacon) - per 1kg;8.15;2006-4
SILESIA;;PLN;2.0;Italian head cheese - per 1kg;11.97;2012-12
POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;17.45;2016-10
WEST POMERANIA;;PLN;2.0;Hunter's sausage dried - per 1kg;16.77;2006-7
POLAND;;PLN;2.0;dressed chickens - per 1kg;6.21;2018-8
HOLY CROSS;apple juice, boxed - per 1l;PLN;1.0;;0.0;2001-7
HOLY CROSS;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2011-6
PODLASKIE;;PLN;2.0;beef with bone (rump steak) - per 1kg;17.28;2007-4
PODLASKIE;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2016-3
WEST POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2000-2
GREATER POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;0.54;2007-4
POMERANIA;apple juice, boxed - per 1l;PLN;1.0;;0.0;2011-6
OPOLE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2000-11
LUBLIN;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2018-12
HOLY CROSS;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.21;2011-7
LUBUSZ;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;15.66;2018-12
LESSER POLAND;;PLN;2.0;pork ham cooked - per 1kg;15.79;2000-3
SILESIA;;PLN;2.0;barley groats sausage - per 1kg;4.6;2007-1
HOLY CROSS;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;1.95;2006-3
SUBCARPATHIA;;PLN;4.0;bread - per 1kg;;2011-2
SUBCARPATHIA;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2016-5
WARMIA-MASURIA;;PLN;2.0;dressed chickens - per 1kg;5.84;2018-5
SUBCARPATHIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2015-11
LESSER POLAND;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;13.21;2016-6
WEST POMERANIA;;PLN;2.0;dressed chickens - per 1kg;7.14;2013-1
POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;5.75;2003-3
MASOVIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.73;2003-6
ŁÓDŹ;;PLN;2.0;pork belly cooked - per 1kg;13.66;1999-12
PODLASKIE;;PLN;2.0;pork belly cooked - per 1kg;14.55;2000-10
SILESIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;8.7;1999-12
WARMIA-MASURIA;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2001-11
POMERANIA;;PLN;2.0;barley groats sausage - per 1kg;9.37;2019-6
POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;10.81;2013-9
LOWER SILESIA;;PLN;2.0;Hunter's sausage dried - per 1kg;16.85;2001-1
KUYAVIA-POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.9;2002-2
LUBLIN;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2012-1
LOWER SILESIA;;PLN;2.0;Hunter's sausage dried - per 1kg;18.29;2001-4
LESSER POLAND;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.39;2019-6
HOLY CROSS;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2012-3
WARMIA-MASURIA;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2006-8
SUBCARPATHIA;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2018-3
LOWER SILESIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;19.01;2010-6
WEST POMERANIA;;PLN;2.0;fresh non-dressed trout - per 1kg;12.84;2017-12
LUBLIN;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2018-4
KUYAVIA-POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;15.26;2018-5
PODLASKIE;;PLN;2.0;dressed chickens - per 1kg;5.79;2009-11
LOWER SILESIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2005-2
POLAND;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.07;2001-2
POLAND;;PLN;2.0;pork  meat (raw bacon) - per 1kg;10.38;2010-10
GREATER POLAND;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.32;2018-8
GREATER POLAND;white table salt bagged - per 1kg;PLN;3.0;;0.0;2008-10
WARMIA-MASURIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;;1999-4
WEST POMERANIA;;PLN;4.0;bread - per 1kg;;2006-3
SUBCARPATHIA;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2011-11
SILESIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2007-6
WEST POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;2.57;2005-10
LOWER SILESIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.22;2002-9
ŁÓDŹ;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2014-3
HOLY CROSS;apple juice, boxed - per 1l;PLN;1.0;;0.0;2016-12
GREATER POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;2.06;2001-7
POLAND;;PLN;2.0;smoked bacon with ribs - per 1kg;15.2;2015-4
MASOVIA;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2012-6
LESSER POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2011-1
