province;product_types;currency;product_group_id;product_line;value;date;product;month;year;quarter
WEST POMERANIA;;PLN;2.0;fresh non-dressed carp - per 1kg;7.49;2001-05-01;fresh non-dressed carp - per 1kg;5.0;2001.0;2.0
OPOLE;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;1999-01-01;haddock fillets frozen - per 1kg;1.0;1999.0;1.0
SUBCARPATHIA;;PLN;2.0;dressed chickens - per 1kg;7.78;2018-06-01;dressed chickens - per 1kg;6.0;2018.0;2.0
SUBCARPATHIA;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2013-12-01;haddock fillets frozen - per 1kg;12.0;2013.0;4.0
POMERANIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2016-03-01;fresh chicken eggs - per 10pcs.;3.0;2016.0;1.0
LUBLIN;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.11;2004-05-01;whole pickled cucumbers 0.9l - per 1pc.;5.0;2004.0;2.0
OPOLE;white table salt bagged - per 1kg;PLN;3.0;;0.0;2014-08-01;white table salt bagged - per 1kg;8.0;2014.0;3.0
PODLASKIE;;PLN;2.0;pork  meat (raw bacon) - per 1kg;8.52;2004-01-01;pork  meat (raw bacon) - per 1kg;1.0;2004.0;1.0
LUBLIN;;PLN;2.0;fresh non-dressed carp - per 1kg;;2007-09-01;fresh non-dressed carp - per 1kg;9.0;2007.0;3.0
SILESIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;1.14;2012-02-01;Backpacker's canned pork meat - per 300 g;2.0;2012.0;1.0
SUBCARPATHIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2007-12-01;fresh non-dressed carp - per 1kg;12.0;2007.0;4.0
KUYAVIA-POMERANIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;3.21;2005-01-01;Backpacker's canned pork meat - per 300 g;1.0;2005.0;1.0
POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;10.52;2001-11-01;beef with bone (rump steak) - per 1kg;11.0;2001.0;4.0
PODLASKIE;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;1999-02-01;salted herring, non-dressed - per 1kg;2.0;1999.0;1.0
WARMIA-MASURIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2002-02-01;fresh chicken eggs - per 10pcs.;2.0;2002.0;1.0
GREATER POLAND;;PLN;4.0;bread - per 1kg;;2016-09-01;bread - per 1kg;9.0;2016.0;3.0
PODLASKIE;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.08;2000-04-01;pork meat with bone (shoulder) - per 1kg;4.0;2000.0;2.0
MASOVIA;;PLN;2.0;dressed chickens - per 1kg;6.0;2011-08-01;dressed chickens - per 1kg;8.0;2011.0;3.0
GREATER POLAND;;PLN;4.0;bread - per 1kg;;2000-03-01;bread - per 1kg;3.0;2000.0;1.0
MASOVIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;22.74;2014-08-01;beef with bone (rump steak) - per 1kg;8.0;2014.0;3.0
MASOVIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;14.54;2018-10-01;pork  meat (raw bacon) - per 1kg;10.0;2018.0;4.0
KUYAVIA-POMERANIA;;PLN;2.0;pork ham cooked - per 1kg;16.1;2008-03-01;pork ham cooked - per 1kg;3.0;2008.0;1.0
SILESIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;10.7;2013-09-01;pork meat with bone (shoulder) - per 1kg;9.0;2013.0;3.0
LUBLIN;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.32;2014-10-01;fresh chicken eggs - per 10pcs.;10.0;2014.0;4.0
KUYAVIA-POMERANIA;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2000-01-01;salted herring, non-dressed - per 1kg;1.0;2000.0;1.0
MASOVIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;11.72;1999-12-01;pork  with bone (center-cut pork chop) - per 1kg;12.0;1999.0;4.0
PODLASKIE;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.77;2000-01-01;pork meat with bone (shoulder) - per 1kg;1.0;2000.0;1.0
POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;5.74;2010-06-01;buckwheat groats roasted whole - per 1kg;6.0;2010.0;2.0
MASOVIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;25.24;2013-02-01;beef with bone (rump steak) - per 1kg;2.0;2013.0;1.0
PODLASKIE;;PLN;4.0;Masurian barley groats - per 1kg;1.15;2009-04-01;Masurian barley groats - per 1kg;4.0;2009.0;2.0
LESSER POLAND;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;11.5;2005-01-01;pork  with bone (center-cut pork chop) - per 1kg;1.0;2005.0;1.0
ŁÓDŹ;apple juice, boxed - per 1l;PLN;1.0;;2.05;2011-11-01;apple juice, boxed - per 1l;11.0;2011.0;4.0
MASOVIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;3.78;2015-07-01;whole pickled cucumbers 0.9l - per 1pc.;7.0;2015.0;3.0
WEST POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.08;1999-06-01;Masurian barley groats - per 1kg;6.0;1999.0;2.0
SUBCARPATHIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.78;2015-02-01;Backpacker's canned pork meat - per 300 g;2.0;2015.0;1.0
SUBCARPATHIA;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2009-01-01;fresh non-dressed trout - per 1kg;1.0;2009.0;1.0
POLAND;frozen carrot and pea mix - per 1kg;EUR;1.0;;3.05;2007-04-01;frozen carrot and pea mix - per 1kg;4.0;2007.0;2.0
OPOLE;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.24;2011-03-01;fresh chicken eggs - per 10pcs.;3.0;2011.0;1.0
OPOLE;;PLN;2.0;dressed chickens - per 1kg;0.0;2001-04-01;dressed chickens - per 1kg;4.0;2001.0;2.0
LUBUSZ;;PLN;2.0;smoked bacon with ribs - per 1kg;11.88;2002-04-01;smoked bacon with ribs - per 1kg;4.0;2002.0;2.0
POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;0.98;2009-06-01;Masurian barley groats - per 1kg;6.0;2009.0;2.0
GREATER POLAND;;PLN;2.0;fresh non-dressed carp - per 1kg;;2018-09-01;fresh non-dressed carp - per 1kg;9.0;2018.0;3.0
SILESIA;;PLN;2.0;smoked bacon with ribs - per 1kg;8.97;2002-12-01;smoked bacon with ribs - per 1kg;12.0;2002.0;4.0
SILESIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2007-08-01;natural chocolate plain - per 1kg;8.0;2007.0;3.0
OPOLE;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2001-06-01;fresh chicken eggs - per 10pcs.;6.0;2001.0;2.0
GREATER POLAND;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.63;2012-02-01;plain mixed bread (wheat-rye) - per 1kg;2.0;2012.0;1.0
GREATER POLAND;;PLN;2.0;pork  meat (raw bacon) - per 1kg;8.56;2001-04-01;pork  meat (raw bacon) - per 1kg;4.0;2001.0;2.0
GREATER POLAND;;PLN;2.0;smoked bacon with ribs - per 1kg;15.02;2017-08-01;smoked bacon with ribs - per 1kg;8.0;2017.0;3.0
WEST POMERANIA;;PLN;2.0;pork ham cooked - per 1kg;18.8;2010-01-01;pork ham cooked - per 1kg;1.0;2010.0;1.0
OPOLE;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2016-06-01;Backpacker's canned pork meat - per 300 g;6.0;2016.0;2.0
HOLY CROSS;;PLN;2.0;boneless beef (sirloin) - per 1kg;25.96;2013-06-01;boneless beef (sirloin) - per 1kg;6.0;2013.0;2.0
LESSER POLAND;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.24;2002-08-01;pork meat with bone (shoulder) - per 1kg;8.0;2002.0;3.0
SUBCARPATHIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2001-09-01;white table salt bagged - per 1kg;9.0;2001.0;3.0
WARMIA-MASURIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;10.18;2016-12-01;pork meat with bone (shoulder) - per 1kg;12.0;2016.0;4.0
PODLASKIE;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;1999-07-01;salted herring, non-dressed - per 1kg;7.0;1999.0;3.0
ŁÓDŹ;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2017-09-01;buckwheat groats roasted whole - per 1kg;9.0;2017.0;3.0
HOLY CROSS;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2012-12-01;buckwheat groats roasted whole - per 1kg;12.0;2012.0;4.0
SILESIA;;PLN;2.0;pork ham cooked - per 1kg;20.71;2018-03-01;pork ham cooked - per 1kg;3.0;2018.0;1.0
LUBUSZ;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2002-03-01;Masurian barley groats - per 1kg;3.0;2002.0;1.0
LUBUSZ;;PLN;2.0;beef with bone (rump steak) - per 1kg;21.45;2010-06-01;beef with bone (rump steak) - per 1kg;6.0;2010.0;2.0
ŁÓDŹ;;PLN;2.0;pork belly cooked - per 1kg;16.22;2008-05-01;pork belly cooked - per 1kg;5.0;2008.0;2.0
WARMIA-MASURIA;;PLN;2.0;salted herring, non-dressed - per 1kg;7.21;2019-05-01;salted herring, non-dressed - per 1kg;5.0;2019.0;2.0
LESSER POLAND;;PLN;2.0;Italian head cheese - per 1kg;8.75;2011-12-01;Italian head cheese - per 1kg;12.0;2011.0;4.0
LESSER POLAND;white table salt bagged - per 1kg;PLN;3.0;;0.42;2018-02-01;white table salt bagged - per 1kg;2.0;2018.0;1.0
SUBCARPATHIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.93;2000-08-01;pork  with bone (center-cut pork chop) - per 1kg;8.0;2000.0;3.0
SILESIA;;PLN;2.0;Hunter's sausage dried - per 1kg;14.59;2004-07-01;Hunter's sausage dried - per 1kg;7.0;2004.0;3.0
HOLY CROSS;;PLN;2.0;pork belly cooked - per 1kg;17.92;2017-09-01;pork belly cooked - per 1kg;9.0;2017.0;3.0
LESSER POLAND;;PLN;2.0;fresh non-dressed carp - per 1kg;;2015-02-01;fresh non-dressed carp - per 1kg;2.0;2015.0;1.0
LUBUSZ;;PLN;2.0;pork  meat (raw bacon) - per 1kg;9.01;2007-06-01;pork  meat (raw bacon) - per 1kg;6.0;2007.0;2.0
HOLY CROSS;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2005-12-01;Backpacker's canned pork meat - per 300 g;12.0;2005.0;4.0
PODLASKIE;;PLN;2.0;Italian head cheese - per 1kg;7.16;2000-12-01;Italian head cheese - per 1kg;12.0;2000.0;4.0
SUBCARPATHIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.48;2008-06-01;plain mixed bread (wheat-rye) - per 1kg;6.0;2008.0;2.0
HOLY CROSS;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;13.53;2017-07-01;pork  with bone (center-cut pork chop) - per 1kg;7.0;2017.0;3.0
LOWER SILESIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.84;2019-11-01;pork meat with bone (shoulder) - per 1kg;11.0;2019.0;4.0
POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;11.61;2019-04-01;haddock fillets frozen - per 1kg;4.0;2019.0;2.0
LUBUSZ;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2004-10-01;frozen carrot and pea mix - per 1kg;10.0;2004.0;4.0
POMERANIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;11.14;2002-03-01;pork  with bone (center-cut pork chop) - per 1kg;3.0;2002.0;1.0
POLAND;;PLN;2.0;salted herring, non-dressed - per 1kg;6.07;2002-07-01;salted herring, non-dressed - per 1kg;7.0;2002.0;3.0
LUBLIN;;PLN;2.0;Hunter's sausage dried - per 1kg;22.08;2013-09-01;Hunter's sausage dried - per 1kg;9.0;2013.0;3.0
SILESIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2004-08-01;buckwheat groats roasted whole - per 1kg;8.0;2004.0;3.0
GREATER POLAND;;PLN;2.0;smoked bacon with ribs - per 1kg;10.58;2002-09-01;smoked bacon with ribs - per 1kg;9.0;2002.0;3.0
POLAND;natural chocolate plain - per 1kg;PLN;3.0;;14.55;2012-07-01;natural chocolate plain - per 1kg;7.0;2012.0;3.0
HOLY CROSS;;PLN;2.0;dressed chickens - per 1kg;5.62;2018-07-01;dressed chickens - per 1kg;7.0;2018.0;3.0
SUBCARPATHIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.21;2006-08-01;fresh chicken eggs - per 10pcs.;8.0;2006.0;3.0
KUYAVIA-POMERANIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;32.33;2017-10-01;boneless beef (sirloin) - per 1kg;10.0;2017.0;4.0
WEST POMERANIA;;PLN;2.0;pork ham cooked - per 1kg;21.27;2014-11-01;pork ham cooked - per 1kg;11.0;2014.0;4.0
LUBUSZ;;PLN;2.0;fresh non-dressed trout - per 1kg;;2002-06-01;fresh non-dressed trout - per 1kg;6.0;2002.0;2.0
SILESIA;;PLN;2.0;pork belly cooked - per 1kg;21.47;2019-09-01;pork belly cooked - per 1kg;9.0;2019.0;3.0
LUBLIN;;PLN;2.0;dressed chickens - per 1kg;6.88;2010-10-01;dressed chickens - per 1kg;10.0;2010.0;4.0
ŁÓDŹ;;PLN;2.0;boneless beef (sirloin) - per 1kg;22.75;2010-03-01;boneless beef (sirloin) - per 1kg;3.0;2010.0;1.0
WEST POMERANIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;11.34;2011-02-01;pork meat with bone (shoulder) - per 1kg;2.0;2011.0;1.0
LUBUSZ;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2008-11-01;frozen carrot and pea mix - per 1kg;11.0;2008.0;4.0
LUBLIN;;PLN;2.0;fresh non-dressed carp - per 1kg;3.8;2002-09-01;fresh non-dressed carp - per 1kg;9.0;2002.0;3.0
WEST POMERANIA;;PLN;2.0;barley groats sausage - per 1kg;3.67;1999-05-01;barley groats sausage - per 1kg;5.0;1999.0;2.0
POLAND;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.62;1999-07-01;frozen carrot and pea mix - per 1kg;7.0;1999.0;3.0
LESSER POLAND;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2003-05-01;fresh chicken eggs - per 10pcs.;5.0;2003.0;2.0
LUBUSZ;;PLN;2.0;pork ham cooked - per 1kg;17.52;2006-02-01;pork ham cooked - per 1kg;2.0;2006.0;1.0
POMERANIA;;PLN;2.0;barley groats sausage - per 1kg;6.59;2009-09-01;barley groats sausage - per 1kg;9.0;2009.0;3.0
POLAND;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;7.8;2007-03-01;pork meat with bone (shoulder) - per 1kg;3.0;2007.0;1.0
MASOVIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;11.75;2011-09-01;pork  meat (raw bacon) - per 1kg;9.0;2011.0;3.0
GREATER POLAND;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.93;2014-07-01;pork  with bone (center-cut pork chop) - per 1kg;7.0;2014.0;3.0
MASOVIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.26;2016-06-01;fresh chicken eggs - per 10pcs.;6.0;2016.0;2.0
GREATER POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;1999-04-01;haddock fillets frozen - per 1kg;4.0;1999.0;2.0
ŁÓDŹ;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2015-04-01;buckwheat groats roasted whole - per 1kg;4.0;2015.0;2.0
OPOLE;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2005-03-01;buckwheat groats roasted whole - per 1kg;3.0;2005.0;1.0
LUBLIN;natural chocolate plain - per 1kg;PLN;3.0;;14.67;2001-11-01;natural chocolate plain - per 1kg;11.0;2001.0;4.0
SILESIA;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2009-06-01;fresh non-dressed trout - per 1kg;6.0;2009.0;2.0
KUYAVIA-POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;16.14;2016-12-01;natural chocolate plain - per 1kg;12.0;2016.0;4.0
SUBCARPATHIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.4;2002-06-01;whole pickled cucumbers 0.9l - per 1pc.;6.0;2002.0;2.0
OPOLE;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2011-03-01;beet sugar white, bagged - per 1kg;3.0;2011.0;1.0
WARMIA-MASURIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.57;2005-06-01;pork  with bone (center-cut pork chop) - per 1kg;6.0;2005.0;2.0
LESSER POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2014-12-01;buckwheat groats roasted whole - per 1kg;12.0;2014.0;4.0
GREATER POLAND;;PLN;2.0;dressed chickens - per 1kg;6.68;2018-12-01;dressed chickens - per 1kg;12.0;2018.0;4.0
WEST POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2007-03-01;natural chocolate plain - per 1kg;3.0;2007.0;1.0
LUBUSZ;;PLN;2.0;pork belly cooked - per 1kg;15.82;2005-08-01;pork belly cooked - per 1kg;8.0;2005.0;3.0
LOWER SILESIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;10.37;2010-09-01;pork  meat (raw bacon) - per 1kg;9.0;2010.0;3.0
LOWER SILESIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2011-10-01;white table salt bagged - per 1kg;10.0;2011.0;4.0
MASOVIA;natural chocolate plain - per 1kg;PLN;3.0;;19.11;2004-01-01;natural chocolate plain - per 1kg;1.0;2004.0;1.0
WEST POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;6.99;2008-07-01;Italian head cheese - per 1kg;7.0;2008.0;3.0
SUBCARPATHIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2004-07-01;fresh non-dressed carp - per 1kg;7.0;2004.0;3.0
LUBLIN;;PLN;2.0;Hunter's sausage dried - per 1kg;18.23;2005-09-01;Hunter's sausage dried - per 1kg;9.0;2005.0;3.0
PODLASKIE;;PLN;2.0;dressed chickens - per 1kg;5.01;2001-03-01;dressed chickens - per 1kg;3.0;2001.0;1.0
WEST POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.39;2009-02-01;Masurian barley groats - per 1kg;2.0;2009.0;1.0
GREATER POLAND;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2003-08-01;Masurian barley groats - per 1kg;8.0;2003.0;3.0
SUBCARPATHIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2002-09-01;fresh chicken eggs - per 10pcs.;9.0;2002.0;3.0
GREATER POLAND;;PLN;2.0;pork belly cooked - per 1kg;14.88;2011-12-01;pork belly cooked - per 1kg;12.0;2011.0;4.0
WEST POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2010-11-01;frozen carrot and pea mix - per 1kg;11.0;2010.0;4.0
ŁÓDŹ;;PLN;2.0;barley groats sausage - per 1kg;7.46;2013-02-01;barley groats sausage - per 1kg;2.0;2013.0;1.0
SUBCARPATHIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.94;2019-05-01;pork  with bone (center-cut pork chop) - per 1kg;5.0;2019.0;2.0
GREATER POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;0.56;2005-06-01;beet sugar white, bagged - per 1kg;6.0;2005.0;2.0
KUYAVIA-POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2007-02-01;buckwheat groats roasted whole - per 1kg;2.0;2007.0;1.0
PODLASKIE;beet sugar white, bagged - per 1kg;PLN;3.0;;1.11;2019-04-01;beet sugar white, bagged - per 1kg;4.0;2019.0;2.0
POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2016-03-01;frozen carrot and pea mix - per 1kg;3.0;2016.0;1.0
GREATER POLAND;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.11;2006-01-01;Backpacker's canned pork meat - per 300 g;1.0;2006.0;1.0
POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;23.16;2011-03-01;beef with bone (rump steak) - per 1kg;3.0;2011.0;1.0
SUBCARPATHIA;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2012-09-01;Masurian barley groats - per 1kg;9.0;2012.0;3.0
POLAND;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.37;2010-06-01;pork  with bone (center-cut pork chop) - per 1kg;6.0;2010.0;2.0
WARMIA-MASURIA;;PLN;2.0;pork belly cooked - per 1kg;16.52;2011-07-01;pork belly cooked - per 1kg;7.0;2011.0;3.0
WEST POMERANIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;7.48;1999-12-01;pork  meat (raw bacon) - per 1kg;12.0;1999.0;4.0
POMERANIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;14.57;2003-05-01;boneless beef (sirloin) - per 1kg;5.0;2003.0;2.0
WARMIA-MASURIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2015-08-01;natural chocolate plain - per 1kg;8.0;2015.0;3.0
HOLY CROSS;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2002-06-01;salted herring, non-dressed - per 1kg;6.0;2002.0;2.0
LUBUSZ;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2008-03-01;Backpacker's canned pork meat - per 300 g;3.0;2008.0;1.0
LESSER POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.49;2004-11-01;whole pickled cucumbers 0.9l - per 1pc.;11.0;2004.0;4.0
PODLASKIE;frozen carrot and pea mix - per 1kg;EUR;1.0;;3.55;2008-03-01;frozen carrot and pea mix - per 1kg;3.0;2008.0;1.0
SUBCARPATHIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;8.81;1999-03-01;beef with bone (rump steak) - per 1kg;3.0;1999.0;1.0
PODLASKIE;;PLN;2.0;pork ham cooked - per 1kg;19.99;2017-06-01;pork ham cooked - per 1kg;6.0;2017.0;2.0
LESSER POLAND;30% tomato concentrate - per 1kg;PLN;1.0;;6.37;2006-01-01;30% tomato concentrate - per 1kg;1.0;2006.0;1.0
LUBLIN;;PLN;2.0;Backpacker's canned pork meat - per 300 g;3.56;2010-08-01;Backpacker's canned pork meat - per 300 g;8.0;2010.0;3.0
POMERANIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2004-08-01;fresh non-dressed carp - per 1kg;8.0;2004.0;3.0
POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;2.66;2005-06-01;beet sugar white, bagged - per 1kg;6.0;2005.0;2.0
KUYAVIA-POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;13.38;2008-03-01;pork belly cooked - per 1kg;3.0;2008.0;1.0
PODLASKIE;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.88;2006-11-01;whole pickled cucumbers 0.9l - per 1pc.;11.0;2006.0;4.0
SILESIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.14;2007-04-01;Backpacker's canned pork meat - per 300 g;4.0;2007.0;2.0
LOWER SILESIA;;PLN;4.0;Masurian barley groats - per 1kg;0.59;2005-08-01;Masurian barley groats - per 1kg;8.0;2005.0;3.0
SILESIA;apple juice, boxed - per 1l;PLN;1.0;;1.82;2016-08-01;apple juice, boxed - per 1l;8.0;2016.0;3.0
LOWER SILESIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2018-05-01;Poznan wheat flour, bagged - per 1kg;5.0;2018.0;2.0
MASOVIA;;PLN;2.0;Italian head cheese - per 1kg;11.08;2011-09-01;Italian head cheese - per 1kg;9.0;2011.0;3.0
POLAND;;PLN;2.0;smoked bacon with ribs - per 1kg;15.9;2017-10-01;smoked bacon with ribs - per 1kg;10.0;2017.0;4.0
LUBUSZ;;PLN;2.0;Hunter's sausage dried - per 1kg;19.33;2011-08-01;Hunter's sausage dried - per 1kg;8.0;2011.0;3.0
ŁÓDŹ;;PLN;2.0;pork  meat (raw bacon) - per 1kg;8.44;2002-06-01;pork  meat (raw bacon) - per 1kg;6.0;2002.0;2.0
POMERANIA;;PLN;2.0;Hunter's sausage dried - per 1kg;22.99;2009-01-01;Hunter's sausage dried - per 1kg;1.0;2009.0;1.0
MASOVIA;;PLN;4.0;Masurian barley groats - per 1kg;1.57;2013-01-01;Masurian barley groats - per 1kg;1.0;2013.0;1.0
LUBLIN;;PLN;2.0;boneless beef (sirloin) - per 1kg;12.78;2001-04-01;boneless beef (sirloin) - per 1kg;4.0;2001.0;2.0
GREATER POLAND;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.18;2006-03-01;fresh chicken eggs - per 10pcs.;3.0;2006.0;1.0
KUYAVIA-POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;11.96;2008-09-01;natural chocolate plain - per 1kg;9.0;2008.0;3.0
SILESIA;;PLN;2.0;salted herring, non-dressed - per 1kg;4.18;2007-02-01;salted herring, non-dressed - per 1kg;2.0;2007.0;1.0
OPOLE;;PLN;2.0;beef with bone (rump steak) - per 1kg;9.74;2001-03-01;beef with bone (rump steak) - per 1kg;3.0;2001.0;1.0
WARMIA-MASURIA;;PLN;2.0;dressed chickens - per 1kg;4.9;2008-01-01;dressed chickens - per 1kg;1.0;2008.0;1.0
LUBLIN;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2007-11-01;30% tomato concentrate - per 1kg;11.0;2007.0;4.0
LUBUSZ;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2018-02-01;Poznan wheat flour, bagged - per 1kg;2.0;2018.0;1.0
GREATER POLAND;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;4.2;2015-01-01;plain mixed bread (wheat-rye) - per 1kg;1.0;2015.0;1.0
SUBCARPATHIA;;PLN;4.0;bread - per 1kg;;2005-11-01;bread - per 1kg;11.0;2005.0;4.0
WARMIA-MASURIA;apple juice, boxed - per 1l;PLN;1.0;;0.0;2016-02-01;apple juice, boxed - per 1l;2.0;2016.0;1.0
KUYAVIA-POMERANIA;;PLN;2.0;pork ham cooked - per 1kg;19.92;2014-12-01;pork ham cooked - per 1kg;12.0;2014.0;4.0
OPOLE;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2010-10-01;haddock fillets frozen - per 1kg;10.0;2010.0;4.0
SUBCARPATHIA;;PLN;2.0;Italian head cheese - per 1kg;5.74;1999-04-01;Italian head cheese - per 1kg;4.0;1999.0;2.0
LESSER POLAND;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2017-11-01;Backpacker's canned pork meat - per 300 g;11.0;2017.0;4.0
LOWER SILESIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.71;2007-10-01;plain mixed bread (wheat-rye) - per 1kg;10.0;2007.0;4.0
LUBLIN;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;3.29;2016-11-01;whole pickled cucumbers 0.9l - per 1pc.;11.0;2016.0;4.0
WARMIA-MASURIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2015-10-01;fresh non-dressed carp - per 1kg;10.0;2015.0;4.0
POLAND;;PLN;2.0;fresh non-dressed carp - per 1kg;;2004-03-01;fresh non-dressed carp - per 1kg;3.0;2004.0;1.0
SILESIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.49;2006-08-01;plain mixed bread (wheat-rye) - per 1kg;8.0;2006.0;3.0
SILESIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2006-12-01;fresh non-dressed carp - per 1kg;12.0;2006.0;4.0
